[공통 DB 연결] process.env.DB_NAME: bettingDB
[업서트] JLEAGUE | Port Adelaide Football Club vs Carlton Football Club | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Gambia Armed Forces vs Marimoo | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Rostov-2 vs Rubin Yalta | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Dynamo Stavropol vs Astrakhan | 1 - 1 | status: finished | result: draw
[업서트] JLEAGUE | Dynamo-2 Makhachkala vs Angusht Nazran | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Pobeda Khasavyurt vs Legion Dynamo Makhachkala | 1 - 1 | status: finished | result: draw
[업서트] JLEAGUE | Nart Cherkessk vs Spartak Nalchik | 5 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Druzhba Maykop vs Sochi-2 | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Sevastopol vs Kuban-Holding Pavlovskaya | 1 - 1 | status: finished | result: draw
[업서트] JLEAGUE | Leones vs Vargas Torres | 3 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Christos FC vs Annapolis Blues | null - null | status: postponed | result: pending
[업서트] JLEAGUE | Red River vs Hattiesburg FC | 0 - 6 | status: finished | result: away_win
[업서트] JLEAGUE | St. Louis Ambush vs Peoria City | 1 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | New Jersey Copa vs Staten Island Athletic | 2 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Dayton Dutch Lions vs West Virginia United | 2 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Weston FC vs Fort Lauderdale United | 2 - 2 | status: finished | result: draw
[업서트] JLEAGUE | Cedar Stars Rush vs Hudson Valley Hammers | 2 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Boston City vs Boston Bolts | 2 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Seacoast United Phantoms vs Western Mass Pioneers | 0 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Charlotte Independence II vs Tobacco Road | 3 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Real Central New Jersey vs Lehigh Valley United | 6 - 2 | status: finished | result: home_win
[업서트] JLEAGUE | Reading United vs Delaware FC | 1 - 2 | status: finished | result: away_win
[업서트] JLEAGUE | Brevard SC vs Brooke House | 0 - 0 | status: finished | result: draw
[업서트] JLEAGUE | Nona FC vs Brave SC | 0 - 1 | status: finished | result: away_win
[업서트] JLEAGUE | Cleveland Force vs Akron City | 0 - 2 | status: finished | result: away_win
[업서트] JLEAGUE | FC Buffalo vs Steel City | 1 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Džiugas Telšiai vs Riteriai | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Kings Hammer Columbus vs Fort Wayne FC | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | Lexington SC II vs Kings Hammer FC | null - null | status: scheduled | result: pending
[업서트] JLEAGUE | Manhattan SC vs Ironbound SC | 1 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Morris Elite vs FC Motown II | 1 - 4 | status: finished | result: away_win
[업서트] JLEAGUE | Miami AC vs FC Miami City | 1 - 5 | status: finished | result: away_win
[업서트] JLEAGUE | Southern Soccer Academy vs Columbus United | null - null | status: postponed | result: pending
[업서트] JLEAGUE | San Francisco Glens vs Academica SC | 6 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Canada vs El Salvador | 2 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Honduras vs Curaçao | 2 - 1 | status: finished | result: home_win
[업서트] JLEAGUE | JJK vs MP | 0 - 0 | status: finished | result: draw
[업서트] JLEAGUE | Šiauliai vs Sūduva | 2 - 2 | status: finished | result: draw
[업서트] JLEAGUE | Tukums vs FK Liepāja | 1 - 3 | status: finished | result: away_win
[업서트] JLEAGUE | Bahirdar Ketema vs Welwalo Adigrat University | 3 - 0 | status: finished | result: home_win
[업서트] JLEAGUE | Klubi 04 vs SalPa | null - null | status: scheduled | result: pending
