[공통 DB 연결] process.env.DB_NAME: bettingDB
[업서트] J리그 | Port Adelaide Football Club vs Carlton Football Club | null - null | status: scheduled | result: pending
[업서트] J리그 | Husqvarna FF vs Lunds BK | null - null | status: scheduled | result: pending
[업서트] J리그 | Charlottesville Blues vs Lionsbridge FC | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Apotheos FC vs Dothan United | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | AC Houston Sur vs Twin City Toucans | 0 - 4 | status: finished | result: away_win
[업서트] J리그 | AHFC Royals vs GFI Academy | 4 - 1 | status: finished | result: home_win
[업서트] J리그 | Louisiana Krewe vs Denton Diablos | 3 - 0 | status: finished | result: home_win
[업서트] J리그 | Birmingham Legion 2 vs Tennessee SC | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Sunflower State vs Santafé Wanderers | 2 - 3 | status: finished | result: away_win
[업서트] J리그 | Patuxent Football Athletics vs Northern Virginia FC | 0 - 4 | status: finished | result: away_win
[업서트] J리그 | Yunnan Yukun vs Henan FC | null - null | status: scheduled | result: pending
[업서트] J리그 | McKinney Chupacabras vs Little Rock Rangers | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Bigfoot FC vs FC Olympia | 2 - 2 | status: finished | result: draw
[업서트] J리그 | San Francisco City FC vs Marin FC Legends | 1 - 2 | status: finished | result: away_win
[업서트] J리그 | AMSG FC vs Coachella SC | 15 - 0 | status: finished | result: home_win
[업서트] J리그 | CISA vs Colorado Storm | null - null | status: scheduled | result: pending
[업서트] J리그 | Switzerland Women vs Czechia Women | null - null | status: scheduled | result: pending
[업서트] J리그 | Jazz vs PKKU | null - null | status: scheduled | result: pending
[업서트] J리그 | Song Lam Nghe An vs Binh Duong | null - null | status: scheduled | result: pending
[업서트] J리그 | Atlético Vinotinto vs Guayaquil City | null - null | status: scheduled | result: pending
[업서트] J리그 | Netherlands Women vs Finland Women | null - null | status: scheduled | result: pending
[업서트] J리그 | Shanghai Port vs Dalian Yingbo | null - null | status: scheduled | result: pending
[업서트] J리그 | Atlético Grau vs Universitario | 0 - 2 | status: finished | result: away_win
[업서트] J리그 | Australia Women vs Slovenia Women | null - null | status: scheduled | result: pending
[업서트] J리그 | Poland Women vs Ukraine Women | null - null | status: scheduled | result: pending
[업서트] J리그 | DCMP Imana vs Vita Club | null - null | status: scheduled | result: pending
[업서트] J리그 | TP Mazembe vs JS Kinshasa | null - null | status: scheduled | result: pending
[업서트] J리그 | Maniema Union vs Saint-Éloi Lupopo | null - null | status: scheduled | result: pending
[업서트] J리그 | Belgium Women vs Greece Women | null - null | status: scheduled | result: pending
[업서트] J리그 | Rostocker FC vs Hansa Rostock | null - null | status: scheduled | result: pending
[업서트] J리그 | FC Midtjylland vs Silkeborg IF | null - null | status: scheduled | result: pending
[업서트] J리그 | Chicago Fire vs Philadelphia Union | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Paks vs Szeged-Csanád | null - null | status: scheduled | result: pending
[업서트] J리그 | Noah vs DAC 1904 Dunajská Streda | null - null | status: scheduled | result: pending
[업서트] J리그 | Sparta Prague vs Slovan Bratislava | null - null | status: scheduled | result: pending
[업서트] J리그 | Imbabura vs Cumbayá | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Bourj vs Chabab Ghazieh | null - null | status: scheduled | result: pending
[업서트] J리그 | Sagesse SC vs Tadamon Sour | null - null | status: scheduled | result: pending
[업서트] J리그 | Safa vs Nejmeh SC | null - null | status: scheduled | result: pending
[업서트] J리그 | FS Jelgava vs RFS | null - null | status: scheduled | result: pending
[업서트] J리그 | Spain U19 vs Netherlands U19 | null - null | status: scheduled | result: pending
[업서트] J리그 | Paraguay U17 vs Turkey U17 | null - null | status: scheduled | result: pending
[업서트] J리그 | Venezuela U17 vs Chile U17 | null - null | status: scheduled | result: pending
[업서트] J리그 | Gorée vs AJEL Rufisque | null - null | status: scheduled | result: pending
[업서트] J리그 | Teungueth vs Ouakam | null - null | status: scheduled | result: pending
[업서트] J리그 | Pikine vs ASC HLM | null - null | status: scheduled | result: pending
[업서트] J리그 | ASC Linguère vs Oslo FA | null - null | status: scheduled | result: pending
[업서트] J리그 | Génération Foot vs Jamono Fatick | null - null | status: scheduled | result: pending
[업서트] J리그 | Dakar Sacré Coeur vs Wally Daan | null - null | status: scheduled | result: pending
[업서트] J리그 | Jaraaf vs Sonacos | null - null | status: scheduled | result: pending
[업서트] J리그 | China Volleyball vs USA Volleyball | null - null | status: scheduled | result: pending
[업서트] J리그 | France Volleyball vs Japan Volleyball | null - null | status: scheduled | result: pending
[업서트] J리그 | Netherlands Volleyball vs Germany Volleyball | null - null | status: scheduled | result: pending
[업서트] J리그 | Serbia Volleyball vs Cuba Volleyball | null - null | status: scheduled | result: pending
[업서트] J리그 | Brazil Volleyball vs China Volleyball | null - null | status: scheduled | result: pending
[업서트] J리그 | Turkey Volleyball vs Ukraine Volleyball | null - null | status: scheduled | result: pending
[결과 없음] 2025-06-18 | Hanwha Eagles vs Doosan Bears | 원인 추론: 팀명/리그명 정규화 불일치 가능성, SportsDB API에 해당 경기 데이터 미존재, 경기 날짜/시간대(UTC/KST) 불일치 가능성, 리그ID/리그명 매핑 오류 가능성
[업서트] J리그 | Houston Astros vs Philadelphia Phillies | 1 - 0 | status: finished | result: home_win
[결과 없음] 2025-06-18 | KT Wiz vs Lotte Giants | 원인 추론: 팀명/리그명 정규화 불일치 가능성, SportsDB API에 해당 경기 데이터 미존재, 경기 날짜/시간대(UTC/KST) 불일치 가능성, 리그ID/리그명 매핑 오류 가능성
[업서트] J리그 | San Diego Padres vs Washington Nationals | 4 - 3 | status: finished | result: home_win
[업서트] J리그 | Colorado Rockies vs Los Angeles Dodgers | 7 - 9 | status: finished | result: away_win
[업서트] J리그 | Los Angeles Angels vs Boston Red Sox | 3 - 2 | status: finished | result: home_win
[업서트] J리그 | San Francisco Giants vs Miami Marlins | 2 - 4 | status: finished | result: away_win
[업서트] J리그 | Milwaukee Brewers vs Pittsburgh Pirates | 4 - 2 | status: finished | result: home_win
[업서트] J리그 | San Diego Padres vs Washington Nationals | 1 - 0 | status: finished | result: home_win
[업서트] J리그 | New York Mets vs Atlanta Braves | 7 - 3 | status: finished | result: home_win
[업서트] J리그 | Kansas City Royals vs Tampa Bay Rays | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Cincinnati Reds vs New York Yankees | 1 - 7 | status: finished | result: away_win
[업서트] J리그 | Cleveland Guardians vs Toronto Blue Jays | 5 - 4 | status: finished | result: home_win
[업서트] J리그 | Chicago White Sox vs Arizona Diamondbacks | 7 - 3 | status: finished | result: home_win
[업서트] J리그 | Baltimore Orioles vs Texas Rangers | 0 - 7 | status: finished | result: away_win
[업서트] J리그 | Los Angeles Angels vs Boston Red Sox | 5 - 2 | status: finished | result: home_win
[업서트] J리그 | Minnesota Twins vs Seattle Mariners | 2 - 0 | status: finished | result: home_win
[업서트] J리그 | St. Louis Cardinals vs Chicago Cubs | 0 - 8 | status: finished | result: away_win
[업서트] J리그 | Samsung Lions vs Hanwha Eagles | 7 - 2 | status: finished | result: home_win
[업서트] J리그 | Acereros de Monclova vs Dorados de Chihuahua | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | Tecolotes de los Dos Laredos vs Charros de Jalisco | 9 - 5 | status: finished | result: home_win
[업서트] J리그 | Doosan Bears vs SSG Landers | null - null | status: postponed | result: pending
[업서트] J리그 | Durham Bulls vs Memphis Redbirds | 2 - 3 | status: finished | result: away_win
[업서트] J리그 | Sultanes de Monterrey vs Caliente de Durango | 5 - 3 | status: finished | result: home_win
[업서트] J리그 | Kiwoom Heroes vs Kia Tigers | 3 - 6 | status: finished | result: away_win
[업서트] J리그 | Piratas de Campeche vs Diablos Rojos del México | 4 - 5 | status: finished | result: away_win
[업서트] J리그 | El Paso Chihuahuas vs Sugar Land Space Cowboys | 6 - 5 | status: finished | result: home_win
[업서트] J리그 | Fubon Guardians vs Rakuten Monkeys | 2 - 0 | status: finished | result: home_win
[업서트] J리그 | KT Wiz vs LG Twins | null - null | status: postponed | result: pending
[업서트] J리그 | Norfolk Tides vs Gwinnett Stripers | 5 - 2 | status: finished | result: home_win
[업서트] J리그 | Detroit Tigers vs Athletics | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Las Vegas Aviators vs Albuquerque Isotopes | 6 - 11 | status: finished | result: away_win
[업서트] J리그 | Reno Aces vs Salt Lake Bees | 18 - 15 | status: finished | result: home_win
[업서트] J리그 | Round Rock Express vs Tacoma Rainiers | 3 - 5 | status: finished | result: away_win
[업서트] J리그 | Sacramento River Cats vs Oklahoma City Comets | 2 - 13 | status: finished | result: away_win
[업서트] J리그 | Reno Aces vs Salt Lake Bees | 6 - 2 | status: finished | result: home_win
[업서트] J리그 | Sacramento River Cats vs Oklahoma City Comets | 0 - 16 | status: finished | result: away_win
[업서트] J리그 | St. Paul Saints vs Louisville Bats | 6 - 1 | status: finished | result: home_win
[업서트] J리그 | Toledo Mud Hens vs Charlotte Knights | 3 - 4 | status: finished | result: away_win
[업서트] J리그 | Buffalo Bisons vs Lehigh Valley IronPigs | 1 - 7 | status: finished | result: away_win
[업서트] J리그 | Rochester Red Wings vs Syracuse Mets | 1 - 5 | status: finished | result: away_win
[업서트] J리그 | Iowa Cubs vs Columbus Clippers | 7 - 8 | status: finished | result: away_win
[업서트] J리그 | Indianapolis Indians vs Omaha Storm Chasers | 5 - 7 | status: finished | result: away_win
[업서트] J리그 | St. Paul Saints vs Louisville Bats | null - null | status: postponed | result: pending
[업서트] J리그 | Scranton-Wilkes-Barre RailRiders vs Worcester Red Sox | null - null | status: scheduled | result: pending
[업서트] J리그 | Toros de Tijuana vs Algodoneros de Unión Laguna | 2 - 14 | status: finished | result: away_win
[업서트] J리그 | Pericos de Puebla vs Conspiradores de Querétaro | 6 - 7 | status: finished | result: away_win
[업서트] J리그 | El Águila de Veracruz vs Leones de Yucatán | 5 - 3 | status: finished | result: home_win
[업서트] J리그 | NC Dinos vs Lotte Giants | 7 - 2 | status: finished | result: home_win
[업서트] J리그 | Saraperos de Saltillo vs Rieleros de Aguascalientes | 12 - 11 | status: finished | result: home_win
[업서트] J리그 | Guerreros de Oaxaca vs Tigres de Quintana Roo | 3 - 8 | status: finished | result: away_win
[업서트] J리그 | Chicago Sky vs Los Angeles Sparks | 97 - 86 | status: finished | result: home_win
[업서트] J리그 | Dallas Wings vs Atlanta Dream | 68 - 55 | status: finished | result: home_win
[업서트] J리그 | Washington Mystics vs Minnesota Lynx | 68 - 64 | status: finished | result: home_win
[업서트] J리그 | Seattle Storm vs Indiana Fever | 86 - 94 | status: finished | result: away_win
[업서트] J리그 | Nelson Giants vs Auckland Tuatara | 104 - 85 | status: finished | result: home_win
[업서트] J리그 | Fenerbahçe Basketbol vs Besiktas Basketbol | 84 - 68 | status: finished | result: home_win
[업서트] J리그 | Valencia Basket vs Real Madrid Baloncesto | 70 - 81 | status: finished | result: away_win
[업서트] J리그 | Belgium Basketball Women vs Germany Basketball Women | 83 - 59 | status: finished | result: home_win
[업서트] J리그 | Boca Juniors vs Quimsa | 87 - 70 | status: finished | result: home_win
[업서트] J리그 | Spain Basketball Women vs Czech Republic Basketball Women | 88 - 81 | status: finished | result: home_win
[업서트] J리그 | Regatas Corrientes vs Instituto de Cordoba | null - null | status: scheduled | result: pending
[업서트] J리그 | Texas Super Kings vs Los Angeles Knight Riders | 196 - 144 | status: finished | result: home_win
[업서트] J리그 | Munster Reds vs Northern Knights | 152 - 177 | status: finished | result: away_win
[업서트] J리그 | Leinster Lightning vs North West Warriors | 147 - 143 | status: finished | result: home_win
[업서트] J리그 | Germany Hockey vs Australia Hockey | 5 - 0 | status: finished | result: home_win
[업서트] J리그 | New Lambton vs Lambton Jaffas | null - null | status: scheduled | result: pending
[업서트] J리그 | Maitland vs Cooks Hill United | null - null | status: postponed | result: pending
[업서트] J리그 | Valentine vs Adamstown Rosebud | 2 - 4 | status: finished | result: away_win
[업서트] J리그 | Edgeworth vs Belmont Swansea United | 4 - 1 | status: finished | result: home_win
[업서트] J리그 | Weston Bears vs Newcastle Olympic | null - null | status: postponed | result: pending
[업서트] J리그 | Columbus Crew vs Atlanta United | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | New England Revolution vs Nashville SC | 2 - 3 | status: finished | result: away_win
[업서트] J리그 | Toronto FC vs New York Red Bulls | 1 - 1 | status: finished | result: draw
[업서트] J리그 | Loudoun United vs Louisville City | 1 - 4 | status: finished | result: away_win
[업서트] J리그 | Tampa Bay Rowdies vs Indy Eleven | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | Kawasaki Frontale vs Albirex Niigata | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | Yokohama F Marinos vs FC Tokyo | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Eastern Suburbs FC vs Brisbane Roar Youth | 3 - 3 | status: finished | result: draw
[업서트] J리그 | Moreton City Excelsior vs Gold Coast United | null - null | status: postponed | result: pending
[업서트] J리그 | Olympic FC vs Sunshine Coast Wanderers | 0 - 0 | status: finished | result: draw
[업서트] J리그 | Peninsula Power vs Wynnum Wolves | 1 - 4 | status: finished | result: away_win
[업서트] J리그 | Espérance de Tunis vs Chelsea | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Borussia Dortmund vs Ulsan HD | 1 - 0 | status: finished | result: home_win
[업서트] J리그 | Mamelodi Sundowns vs Fluminense | 0 - 0 | status: finished | result: draw
[업서트] J리그 | South Georgia Tormenta vs FC Naples | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Shanghai Shenhua vs Tianjin Jinmen Tiger | 3 - 0 | status: finished | result: home_win
[업서트] J리그 | Qingdao Hainiu vs Zhejiang Professional | 0 - 3 | status: finished | result: away_win
[업서트] J리그 | Shandong Taishan vs Wuhan Three Towns | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | Changchun Yatai vs Qingdao West Coast | 1 - 0 | status: finished | result: home_win
[업서트] J리그 | Meizhou Hakka vs Beijing Guoan | 0 - 4 | status: finished | result: away_win
[업서트] J리그 | Chengdu Rongcheng vs Shenzhen Peng City | 5 - 0 | status: finished | result: home_win
[업서트] J리그 | Al-Zawraa vs Al-Minaa | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Al-Shorta SC vs Al-Hudood | 3 - 1 | status: finished | result: home_win
[업서트] J리그 | Ghana Women vs Benin Women | 4 - 2 | status: finished | result: home_win
[업서트] J리그 | Latvia U17 vs Finland U17 | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Estonia U17 vs Lithuania U17 | 1 - 2 | status: finished | result: away_win
[업서트] J리그 | Mali U17 vs Burkina Faso U17 | 5 - 2 | status: finished | result: home_win
[업서트] J리그 | Al-Shorta vs Al-Hudood | 3 - 1 | status: scheduled | result: home_win
[업서트] J리그 | Kalamazoo FC vs Northern Indiana | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | OshSU Aldier vs Ilbirs Bishkek | 4 - 1 | status: finished | result: home_win
[업서트] J리그 | Greater Tomorrow vs TMT | null - null | status: postponed | result: pending
[업서트] J리그 | BST Galaxy vs Steve Biko | null - null | status: postponed | result: pending
[업서트] J리그 | Fortune vs Banjul United | null - null | status: postponed | result: pending
[업서트] J리그 | Real de Banjul vs Team Rhino | null - null | status: postponed | result: pending
[업서트] J리그 | Hart Academy vs SP Falcons | null - null | status: postponed | result: pending
[업서트] J리그 | Bombada vs Banjul Hawks | null - null | status: postponed | result: pending
[업서트] J리그 | Brikama United vs Gambian Dutch Lions | null - null | status: postponed | result: pending
[업서트] J리그 | Gambia Armed Forces vs Marimoo | null - null | status: postponed | result: pending
[업서트] J리그 | Rostov-2 vs Rubin Yalta | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Dynamo Stavropol vs Astrakhan | 1 - 1 | status: finished | result: draw
[업서트] J리그 | Dynamo-2 Makhachkala vs Angusht Nazran | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Pobeda Khasavyurt vs Legion Dynamo Makhachkala | 1 - 1 | status: finished | result: draw
[업서트] J리그 | Nart Cherkessk vs Spartak Nalchik | 5 - 0 | status: finished | result: home_win
[업서트] J리그 | Druzhba Maykop vs Sochi-2 | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Sevastopol vs Kuban-Holding Pavlovskaya | 1 - 1 | status: finished | result: draw
[업서트] J리그 | Leones vs Vargas Torres | 3 - 2 | status: finished | result: home_win
[업서트] J리그 | Christos FC vs Annapolis Blues | null - null | status: postponed | result: pending
[업서트] J리그 | Red River vs Hattiesburg FC | 0 - 6 | status: finished | result: away_win
[업서트] J리그 | St. Louis Ambush vs Peoria City | 1 - 3 | status: finished | result: away_win
[업서트] J리그 | New Jersey Copa vs Staten Island Athletic | 2 - 0 | status: finished | result: home_win
[업서트] J리그 | Dayton Dutch Lions vs West Virginia United | 2 - 3 | status: finished | result: away_win
[업서트] J리그 | Weston FC vs Fort Lauderdale United | 2 - 2 | status: finished | result: draw
[업서트] J리그 | Cedar Stars Rush vs Hudson Valley Hammers | 2 - 3 | status: finished | result: away_win
[업서트] J리그 | Boston City vs Boston Bolts | 2 - 5 | status: finished | result: away_win
[업서트] J리그 | Seacoast United Phantoms vs Western Mass Pioneers | 0 - 5 | status: finished | result: away_win
[업서트] J리그 | Charlotte Independence II vs Tobacco Road | 3 - 2 | status: finished | result: home_win
[업서트] J리그 | Real Central New Jersey vs Lehigh Valley United | 6 - 2 | status: finished | result: home_win
[업서트] J리그 | Reading United vs Delaware FC | 1 - 2 | status: finished | result: away_win
[업서트] J리그 | Brevard SC vs Brooke House | 0 - 0 | status: finished | result: draw
[업서트] J리그 | Nona FC vs Brave SC | 0 - 1 | status: finished | result: away_win
[업서트] J리그 | Cleveland Force vs Akron City | 0 - 2 | status: finished | result: away_win
[업서트] J리그 | FC Buffalo vs Steel City | 1 - 4 | status: finished | result: away_win
[업서트] J리그 | Džiugas Telšiai vs Riteriai | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Kings Hammer Columbus vs Fort Wayne FC | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | Lexington SC II vs Kings Hammer FC | null - null | status: scheduled | result: pending
[업서트] J리그 | Manhattan SC vs Ironbound SC | 1 - 3 | status: finished | result: away_win
[업서트] J리그 | Morris Elite vs FC Motown II | 1 - 4 | status: finished | result: away_win
[업서트] J리그 | Miami AC vs FC Miami City | 1 - 5 | status: finished | result: away_win
[업서트] J리그 | Southern Soccer Academy vs Columbus United | null - null | status: postponed | result: pending
[업서트] J리그 | San Francisco Glens vs Academica SC | 6 - 0 | status: finished | result: home_win
[업서트] J리그 | Canada vs El Salvador | 2 - 0 | status: finished | result: home_win
[업서트] J리그 | Honduras vs Curaçao | 2 - 1 | status: finished | result: home_win
[업서트] J리그 | JJK vs MP | 0 - 0 | status: finished | result: draw
[업서트] J리그 | Šiauliai vs Sūduva | 2 - 2 | status: finished | result: draw
[업서트] J리그 | Tukums vs FK Liepāja | 1 - 3 | status: finished | result: away_win
[업서트] J리그 | Bahirdar Ketema vs Welwalo Adigrat University | 3 - 0 | status: finished | result: home_win
[업서트] J리그 | Klubi 04 vs SalPa | null - null | status: scheduled | result: pending
[업서트] J리그 | St. Louis Cardinals vs Chicago Cubs | 8 - 7 | status: finished | result: home_win
[업서트] J리그 | Kiwoom Heroes vs Kia Tigers | 9 - 6 | status: finished | result: home_win
[업서트] J리그 | San Diego Padres vs Washington Nationals | 6 - 10 | status: finished | result: away_win
[업서트] J리그 | Los Angeles Angels vs Boston Red Sox | 9 - 5 | status: finished | result: home_win
[업서트] J리그 | New York Mets vs Atlanta Braves | 4 - 7 | status: finished | result: away_win
[업서트] J리그 | Kansas City Royals vs Tampa Bay Rays | 1 - 5 | status: finished | result: away_win
[업서트] J리그 | Baltimore Orioles vs Texas Rangers | 5 - 6 | status: finished | result: away_win
[업서트] J리그 | Cleveland Guardians vs Toronto Blue Jays | 6 - 10 | status: finished | result: away_win
[업서트] J리그 | Cincinnati Reds vs New York Yankees | 5 - 4 | status: finished | result: home_win
[업서트] J리그 | Chicago White Sox vs Arizona Diamondbacks | 1 - 4 | status: finished | result: away_win
[업서트] J리그 | Milwaukee Brewers vs Pittsburgh Pirates | 9 - 3 | status: finished | result: home_win
[업서트] J리그 | Minnesota Twins vs Seattle Mariners | 5 - 6 | status: finished | result: away_win
[업서트] J리그 | NC Dinos vs Lotte Giants | null - null | status: postponed | result: pending
[업서트] J리그 | Doosan Bears vs SSG Landers | 5 - 0 | status: finished | result: home_win
